timestamp,color_resolution,depth_resolution,mode,encoding_speed,position_quant_bits,layer0_on,layer1_on,layer2_on,frame_preparation_ms,data_preparation_ms,one_way_ms,one_way_plus_processing_ms,encode_ms,points,decode_ms,total_time_ms
2025-08-04T21:03:41.449902,848x480,848x480,FULL,10,11,True,True,True,13.52,16.85,0.2,4.27,4.49,22582,4.07,39.12
2025-08-04T21:03:43.125421,848x480,848x480,FULL,10,11,True,True,True,13.96,17.66,0.53,4.33,4.79,22554,3.8,40.74
2025-08-04T21:03:44.575610,848x480,848x480,FULL,10,11,True,True,True,13.36,16.4,0.4,4.17,4.54,22623,3.77,38.47
2025-08-04T21:03:45.960877,848x480,848x480,FULL,10,11,True,True,True,13.32,16.22,0.4,4.13,4.52,22593,3.73,38.19
2025-08-04T21:03:47.395396,848x480,848x480,FULL,10,11,True,True,True,13.28,16.23,0.4,4.1,4.44,22583,3.7,38.05
2025-08-04T21:06:24.154869,848x480,848x480,FULL,10,11,True,True,True,13.52,16.55,0.37,4.13,4.56,22499,3.77,38.76
2025-08-04T21:06:27.846244,848x480,848x480,FULL,10,11,True,True,True,13.37,15.85,0.5,4.0,4.56,22663,3.5,37.78
2025-08-04T21:06:30.798135,848x480,848x480,FULL,10,11,True,True,True,13.26,16.09,0.43,4.0,4.38,22452,3.57,37.74
2025-08-04T21:06:32.199996,848x480,848x480,FULL,10,11,True,True,True,13.42,16.61,0.23,3.97,4.42,22652,3.73,38.42
2025-08-04T21:06:33.716364,848x480,848x480,FULL,10,11,True,True,True,13.65,16.36,0.3,4.03,4.51,22658,3.73,38.55
