timestamp,color_resolution,depth_resolution,mode,encoding_speed,decoding_speed,position_quant_bits,color_quant_bits,points,frame_preparation_ms,data_preparation_ms,encode_ms,one_way_ms,decode_ms,geometry_upload_ms,total_time_ms
2025-08-06T04:29:07.792172,848x480,848x480,FULL,0,0,10,8,89347,16.9,18.08,61.17,0.9,22.46,0.71,120.22
2025-08-06T04:29:10.625418,848x480,848x480,FULL,0,5,10,8,73332,16.45,17.73,21.49,0.8,16.9,0.53,73.9
2025-08-06T04:29:13.092144,848x480,848x480,FULL,0,10,10,8,72827,16.68,17.9,14.62,0.8,9.91,0.5,60.4
2025-08-06T04:29:15.942025,848x480,848x480,FULL,5,0,10,8,72096,16.52,17.84,21.31,0.9,16.58,0.52,73.67
2025-08-06T04:29:18.775621,848x480,848x480,FULL,5,5,10,8,72993,16.87,17.73,21.43,0.8,16.81,0.47,74.11
2025-08-06T04:29:21.158594,848x480,848x480,FULL,5,10,10,8,72362,16.64,18.23,14.06,1.0,9.64,0.41,59.98
2025-08-06T04:29:23.542210,848x480,848x480,FULL,10,0,10,8,72854,16.47,18.01,13.85,0.83,9.87,0.51,59.54
2025-08-06T04:29:26.008515,848x480,848x480,FULL,10,5,10,8,73259,16.6,19.14,14.51,0.93,10.04,0.53,61.75
2025-08-06T04:29:28.425478,848x480,848x480,FULL,10,10,10,8,72989,17.0,18.23,14.36,1.0,10.04,0.57,61.19
2025-08-06T04:29:32.192095,848x480,848x480,FULL,0,0,11,8,72464,16.62,17.82,51.35,1.07,17.49,0.47,104.83
2025-08-06T04:29:35.025368,848x480,848x480,FULL,0,5,11,8,72206,17.05,17.9,21.57,1.07,16.67,0.44,74.7
2025-08-06T04:29:37.526320,848x480,848x480,FULL,0,10,11,8,72414,17.14,18.77,14.53,1.03,10.0,0.54,62.02
2025-08-06T04:29:40.459288,848x480,848x480,FULL,5,0,11,8,72689,16.97,17.87,22.28,1.13,16.89,0.57,75.71
2025-08-06T04:29:43.325186,848x480,848x480,FULL,5,5,11,8,72917,16.82,17.62,21.81,1.13,16.94,0.57,74.9
2025-08-06T04:29:45.742035,848x480,848x480,FULL,5,10,11,8,72321,16.93,17.69,14.68,1.1,9.76,0.52,60.68
2025-08-06T04:29:48.159149,848x480,848x480,FULL,10,0,11,8,72622,16.98,17.86,14.51,1.13,9.81,0.48,60.78
2025-08-06T04:29:50.575277,848x480,848x480,FULL,10,5,11,8,72220,16.94,18.53,14.45,1.23,9.74,0.45,61.36
2025-08-06T04:29:53.025104,848x480,848x480,FULL,10,10,11,8,72266,16.77,18.19,14.6,0.8,9.96,0.53,60.86
2025-08-06T04:29:56.874932,848x480,848x480,FULL,0,0,12,8,72076,16.91,17.71,54.73,0.63,16.97,0.51,107.46
2025-08-06T04:29:59.776073,848x480,848x480,FULL,0,5,12,8,72147,17.36,17.78,22.32,0.83,17.06,0.53,75.89
2025-08-06T04:30:02.225102,848x480,848x480,FULL,0,10,12,8,71878,17.26,17.98,15.01,0.7,10.17,0.51,61.63
2025-08-06T04:30:05.126005,848x480,848x480,FULL,5,0,12,8,72045,16.9,17.73,21.89,0.77,17.19,0.55,75.02
2025-08-06T04:30:08.008654,848x480,848x480,FULL,5,5,12,8,71760,17.0,18.39,22.21,0.73,16.73,0.5,75.56
2025-08-06T04:30:10.408810,848x480,848x480,FULL,5,10,12,8,72054,17.21,17.89,14.46,0.83,9.91,0.51,60.8
2025-08-06T04:30:12.892272,848x480,848x480,FULL,10,0,12,8,71128,18.09,18.58,14.97,0.8,9.86,0.56,62.86
2025-08-06T04:30:15.308765,848x480,848x480,FULL,10,5,12,8,71358,17.07,18.33,14.58,0.87,10.04,0.65,61.54
2025-08-06T04:30:17.708530,848x480,848x480,FULL,10,10,12,8,71011,16.77,18.47,14.3,0.9,9.75,0.55,60.74
