mean_pos_error,max_pos_error,mean_color_error
0.29,0.91,49.51
0.3,0.97,53.34
0.0,0.0,0.0
0.27,0.93,54.57
0.3,0.97,53.48
0.0,0.0,0.0
0.28,0.93,54.46
0.3,0.99,53.66
0.0,0.0,0.0
0.29,0.77,48.64
0.33,0.78,52.24
0.0,0.0,0.0
0.31,0.82,57.14
0.33,0.92,55.66
0.0,0.0,0.0
0.3,0.9,55.04
0.34,0.9,54.61
0.0,0.0,0.0
0.22,1.0,36.67
0.28,1.01,38.31
0.0,0.0,0.0
0.27,0.89,60.74
0.29,0.87,59.34
0.0,0.0,0.0
0.27,1.01,62.21
0.29,0.84,59.62
0.0,0.0,0.0
0.28,0.88,59.28
0.29,0.94,62.65
0.0,0.0,0.0
0.28,0.93,64.95
0.29,0.94,62.4
0.0,0.0,0.0
0.28,0.98,65.82
0.29,0.95,62.46
0.0,0.0,0.0
