timestamp,color_resolution,depth_resolution,mode,encoding_speed_in,position_quant_bits_in,encoding_speed_out,position_quant_bits_out,layer0_on,layer1_on,layer2_on,points_in,points_out,points,frame_preparation_ms,data_preparation_ms,encode_ms,one_way_ms,one_way_plus_processing_ms,total_time_ms
2025-08-05T02:52:51.459717,848x480,848x480,IMPORTANCE,10,11,10,11,True,True,True,0,97355,97355,15.89,19.75,20.36,0.57,17.4,73.4
2025-08-05T04:40:54.523240,848x480,848x480,IMPORTANCE,0,10,5,8,True,True,True,0,70762,70762,16.05,20.09,19.8,0.6,19.03,74.98
2025-08-05T04:40:56.765575,848x480,848x480,IMPORTANCE,0,10,5,8,True,True,False,0,46579,46579,15.86,19.48,13.09,0.4,12.23,60.67
2025-08-05T04:40:59.083443,848x480,848x480,IMPORTANCE,0,10,5,8,True,False,True,0,52936,52936,15.96,19.29,14.94,0.37,15.53,65.73
2025-08-05T04:41:00.978403,848x480,848x480,IMPORTANCE,0,10,5,8,True,False,False,0,37252,37252,15.69,19.07,10.19,0.5,10.3,55.24
2025-08-05T04:41:02.825979,848x480,848x480,IMPORTANCE,0,10,5,8,False,True,True,0,24721,24721,15.85,18.3,6.79,0.27,7.43,48.37
2025-08-05T04:41:04.343468,848x480,848x480,IMPORTANCE,0,10,5,8,False,True,False,0,9297,9297,15.94,18.33,2.88,0.87,4.47,41.62
2025-08-05T04:41:06.153580,848x480,848x480,IMPORTANCE,0,10,5,8,False,False,True,0,15545,15545,15.96,18.0,4.45,1.33,6.1,44.51
2025-08-05T04:41:08.461535,848x480,848x480,IMPORTANCE,0,10,10,8,True,True,True,0,74341,74341,15.86,19.18,14.33,0.53,11.6,60.98
2025-08-05T04:41:10.343168,848x480,848x480,IMPORTANCE,0,10,10,8,True,True,False,0,55060,55060,15.67,19.17,10.53,0.67,9.33,54.7
2025-08-05T04:41:12.277891,848x480,848x480,IMPORTANCE,0,10,10,8,True,False,True,0,63263,63263,15.75,20.0,12.03,0.4,10.3,58.07
2025-08-05T04:41:14.143984,848x480,848x480,IMPORTANCE,0,10,10,8,True,False,False,0,44632,44632,15.85,19.02,8.66,0.5,8.03,51.56
